NoteID,OriginType,ReleaseState,CanonicalWord,SenseLabel,MeaningPrimary,CandidateBritish,CandidateAmerican,RiskFlags,ReviewRiskReasons
KV002793,new-third-party-stable,unreleased,the Dragon Boat Festival,端午节,端午节,[ðə dɹˈaɡən bˈəʊt fˈɛstɪvəl],[ðə dɹˈæɡən bˈoʊt fˈɛstɪvəl],multiword proper-case,proper-case
KV002794,new-third-party-stable,unreleased,the Eiffel Tower,埃菲尔铁塔,埃菲尔铁塔,[ðɪ ˈaɪfəl tˈaʊə],[ðɪ ˈaɪfəl tˈaʊɚ],multiword proper-case,proper-case
KV002795,new-third-party-stable,unreleased,the Golden Gate Bridge,金门大桥,金门大桥,[ðə ɡˈəʊldən ɡˈeɪt bɹˈɪdʒ],[ðə ɡˈoʊldən ɡˈeɪt bɹˈɪdʒ],multiword proper-case,proper-case
KV002796,new-third-party-stable,unreleased,the Great Wall of China,中国长城,中国长城,[ðə ɡɹˈeɪt wˈɔːl ɒv tʃˈaɪnə],[ðə ɡɹˈeɪt wˈɔːl ʌv tʃˈaɪnə],multiword proper-case,proper-case
KV002798,new-third-party-stable,unreleased,the Internet,互联网；因特网,互联网；因特网,[ðɪ ˈɪntənˌɛt],[ðɪ ˈɪntɚnˌɛt],multiword proper-case,proper-case
KV002799,new-third-party-stable,unreleased,the Lantern Festival,元宵节,元宵节,[ðə lˈantən fˈɛstɪvəl],[ðə lˈæntɚn fˈɛstɪvəl],multiword proper-case,proper-case
KV002801,new-third-party-stable,unreleased,the Mayflower,五月花号,五月花号,[ðə mˈeɪflaʊə],[ðə mˈeɪflaʊɚ],multiword proper-case,proper-case
KV002802,new-third-party-stable,unreleased,the Mid-autumn Festival,中秋节,中秋节,[ðə mˈɪdˈɔːtʌm fˈɛstɪvəl],[ðə mˈɪdˈɔːɾʌm fˈɛstɪvəl],multiword hyphenated proper-case,proper-case flap-allophone
KV002803,new-third-party-stable,unreleased,the National Team,国家队,国家队,[ðə nˈaʃənəl tˈiːm],[ðə nˈæʃənəl tˈiːm],multiword proper-case,proper-case
KV002804,new-third-party-stable,unreleased,the Palace Museum,故宫博物院,故宫博物院,[ðə pˈalɪs mjuːzˈiəm],[ðə pˈælɪs mjuːzˈiəm],multiword proper-case,proper-case
KV002805,new-third-party-stable,unreleased,the Spring Festival,春节,春节,[ðə spɹˈɪŋ fˈɛstɪvəl],[ðə spɹˈɪŋ fˈɛstɪvəl],multiword proper-case,proper-case
KV002807,new-third-party-stable,unreleased,the Tree Planting Day,植树节,植树节,[ðə tɹˈiː plˈantɪŋ dˈeɪ],[ðə tɹˈiː plˈæntɪŋ dˈeɪ],multiword proper-case,proper-case
KV002808,new-third-party-stable,unreleased,the U.S.,美国,美国,[ðə jˌuːˈɛs],[ðə jˌuːˈɛs],multiword proper-case punctuation,proper-case
KV002809,new-third-party-stable,unreleased,the West Lake,西湖,西湖,[ðə wˈɛst lˈeɪk],[ðə wˈɛst lˈeɪk],multiword proper-case,proper-case
KV002818,new-third-party-stable,unreleased,thirty-one,三十一,三十一,[θˈɜːtiwˌɒn],[θˈɜːɾiwˌʌn],hyphenated,flap-allophone
KV002819,new-third-party-stable,unreleased,thirty-two,三十二,三十二,[θˈɜːtitˈuː],[θˈɜːɾitˈuː],hyphenated,flap-allophone
KV002820,new-third-party-stable,unreleased,Thomas Edison,托马斯·爱迪生,托马斯·爱迪生,[tˈɒməs ˈɛdɪsən],[tˈɑːməs ˈɛdɪsən],multiword proper-case,proper-case
KV002826,new-third-party-stable,unreleased,Tian'anmen Square,天安门广场,天安门广场,[tjˈanɐnmˌɛn skwˈeə],[tjˈænɐnmˌɛn skwˈɛɹ],multiword proper-case punctuation,proper-case
KV002827,new-third-party-stable,unreleased,Tibet,西藏,西藏,[tɪbˈɛt],[tɪbˈɛt],proper-case,proper-case
KV002910,new-third-party-stable,unreleased,US,我们,我们,[jˌuːˈɛs],[jˌuːˈɛs],acronym proper-case,proper-case acronym
KV002911,new-third-party-stable,unreleased,USA,美国；美利坚合众国,美国；美利坚合众国,[jˌuːˌɛsˈeɪ],[jˌuːˌɛsˈeɪ],acronym proper-case,proper-case acronym
KV002937,new-third-party-stable,unreleased,watch TV,看电视,看电视,[wˈɒtʃ tˌiːvˈiː],[wˈɑːtʃ tˌiːvˈiː],multiword proper-case,proper-case
KV002939,new-third-party-stable,unreleased,water the plants,给植物浇水,给植物浇水,[wˈɔːtə ðə plˈants],[wˈɔːɾɚ ðə plˈænts],multiword,flap-allophone
KV002959,new-third-party-stable,unreleased,White House,白宫,白宫,[wˈaɪt hˈaʊs],[wˈaɪt hˈaʊs],multiword proper-case,proper-case
KV002972,new-third-party-stable,unreleased,Winter Olympics,冬季奥运会,冬季奥运会,[wˈɪntəɹ əlˈɪmpɪks],[wˈɪntɚɹ əlˈɪmpɪks],multiword proper-case,proper-case
KV002988,new-third-party-stable,unreleased,World Car Free Day,世界无车日,世界无车日,[wˈɜːld kˈɑː fɹˈiː dˈeɪ],[wˈɜːld kˈɑːɹ fɹˈiː dˈeɪ],multiword proper-case,proper-case
KV002989,new-third-party-stable,unreleased,World Cup,世界杯,世界杯,[wˈɜːld kˈʌp],[wˈɜːld kˈʌp],multiword proper-case,proper-case
